title,content
 Infinity ,"  
I was seduced by infinity at an early age. Cantor's diagonality proof that some infinities are bigger than others mesmerized me, and his infinite hierarchy of infinities blew my mind. The assumption that something truly infinite exists in nature underlies every physics course I've ever taught at MIT, and indeed all of modern physics. But it's an untested assumption, which begs the question: is it actually true? 
There are in fact two separate assumptions: ""infinitely big"" and ""infinitely small"". By infinitely big, I mean the idea that space can have infinite volume, that time can continue forever, and that there can be infinitely many physical objects. By infinitely small, I mean the continuum: the idea that even a liter of space contains an infinite number of points, that space can be stretched out indefinitely without anything bad happening, and that there are quantities in nature that can vary continuously. The two are closely related because inflation, the most popular explanation of our Big Bang, can create an infinite volume by stretching continuous space indefinitely.
The theory of inflation has been spectacularly successful, and is a leading contender for a Nobel Prize. It explained how a subatomic speck of matter transformed into a massive Big Bang, creating a huge, flat and uniform universe with tiny density fluctuations that eventually grew into today's galaxies and cosmic large scale structure, all in beautiful agreement with precision measurements from experiments such as the Planck satellite. But by generically predicting that space isn't just big, but truly infinite, inflation has also brought about the so-called measure problem, which I view as the greatest crisis facing modern physics. Physics is all about predicting the future from the past, but inflation seems to sabotage this: when we try to predict the probability that something particular will happen, inflation always gives the same useless answer: infinity divided by infinity. The problem is that whatever experiment you make, inflation predicts that there will be infinitely many copies of you far away in our infinite space, obtaining each physically possible outcome, and despite years of tooth-grinding in the cosmology community, no consensus has emerged on how to extract sensible answers from these infinities. So strictly speaking, we physicists are no longer able to predict anything at all! 
This means that today's best theories similarly need a major shakeup, by retiring an incorrect assumption. Which one? Here's my prime suspect: ∞.
 A rubber band can't be stretched indefinitely, because although it seems smooth and continuous, that's merely a convenient approximation: it's really made of atoms, and if you stretch it too much, it snaps. If we similarly retire the idea that space itself is an infinitely stretchy continuum, then a big snap of sorts stops inflation from producing an infinitely big space, and the measure problem goes away. Without the infinitely small, inflation can't make the infinitely big, so you get rid of both infinities in one fell swoop—together with many other problems plaguing modern physics, such as infinitely dense black hole singularities and infinities popping up when we try to quantize gravity. 
In the past, many venerable mathematicians expressed skepticism towards infinity and the continuum. The legendary Carl Friedrich Gauss denied that anything infinite really existed, saying ""Infinity is merely a way of speaking"" and ""I protest against the use of infinite magnitude as something completed, which is never permissible in mathematics."" In the past century, however, infinity has become mathematically mainstream, and most physicists and mathematicians have become so enamored with infinity that they rarely question it. Why? Basically, because infinity is an extremely convenient approximation, for which we haven't discovered convenient alternatives. Consider, for example, the air in front of you. Keeping track of the positions and speeds of octillions of atoms would be hopelessly complicated. But if you ignore the fact that air is made of atoms and instead approximate it as a continuum, a smooth substance that has a density, pressure and velocity at each point, you find that this idealized air obeys a beautifully simple equation that explains almost everything we care about: how to build airplanes, how we hear them with sound waves, how to make weather forecasts, etc. Yet despite all that convenience, air of course isn't truly continuous. I think it's the same way for space, time and all the other building blocks of our physical word.
Let's face it: despite their seductive allure, we have no direct observational evidence for either the infinitely big or the infinitely small. We speak of infinite volumes with infinitely many planets, but our observable universe contains only about 1089 objects (mostly photons). If space is a true continuum, then to describe even something as simple as the distance between two points requires an infinite amount of information, specified by a number with infinitely many decimal places. In practice, we physicists have never managed to measure anything to more than about 17 decimal places. Yet real numbers with their infinitely many decimals have infested almost every nook and cranny of physics, from the strengths of electromagnetic fields to the wave functions of quantum mechanics: we describe even a single bit of quantum information (qubit) using two real numbers involving infinitely many decimals. 
Not only do we lack evidence for the infinite, but we don't actually need the infinite to do physics: our best computer simulations, accurately describing everything from the formation of galaxies to to tomorrow's weather to the masses of elementary particles, use only finite computer resources by treating everything as finite. So if we can do without infinity to figure out what happens next, surely nature can too—in a way that's more deep and elegant than the hacks we use for our computer simulations. Our challenge as physicists is to discover this elegant way and the infinity-free equations describing it—the true laws of physics. To start this search in earnest, we need to question infinity. I'm betting that we also need to let go of it.
 "
 Certainty. Absolute Truth. Exactitude. ,"  
A wonderful diagram is the approximate theory of the sun centered solar system of Heliocentrism done by Nicolaus Copernicus that he published in 1543.
It would never be published in any academic circles today because it is not correct. The orbits are not circular; they are elliptical, they're not all on the same plane and the diagram is completely disproportionate and does not represent the distances between the planets or from the planets to the sun. It's a diagram of approximation. It's a diagram that give permission for others, as Tycho Brahe released his documentation and his measurements so that Kepler could come up with a more approximate notion of our planetary universe incorporating more accurate geometries.
What I'm suggesting be retired, are the first three words that I wrote above and what I suggest to be embraced is more academic leeway in theories of approximation that give permission for others to see and discover new patterns.
 "
 Scientific Morality  ,"  
Impressed by the growing explanatory power of the natural sciences of his time, the philosopher David Hume called upon his colleagues to abandon the armchair, turn their attention to empirical evidence, and ""hearken to no arguments but those which are derived from experience… [to] reject every system of ethics, however subtle or ingenious, which is not founded on fact and observation."" This was over two hundred years ago, and unfortunately not much changed in academic philosophy until about the last decade or two. Pushing past a barrier also associated with Hume—the infamous is-ought or fact-value distinction—a growing number of philosophers have finally begun arguing that our theories should be informed by our best current empirical accounts of how the human minds works, and that an ethical system that posits or requires an impossible psychology should be treated with suspicion.
One of the more robust and relevant bits of knowledge about human psychology that has emerged from the cognitive sciences is that we are not rational minds housed in irrational, emotional bodies. Metaphors like that of Plato's rational charioteer bravely struggling to control his irrational, passionate horses appeal to us because they map well onto our intuitive psychology, but they turn out to be ultimately misleading. A more empirically accurate image would be that of a centaur: rider and horse are one. To the best of our knowledge, there is no ghost in the machine. We are thoroughly embodied creatures, embedded in a complex social and culturally-shaped environment, primarily guided in our daily lives not by cold calculation but hot emotion; not conscious choice but automatic, spontaneous processes; not rational concepts descended from the realm of Forms but rather modal, analogical images.
So, the ironic result of adopting a scientific stance toward human morality is to lay bare the impossibility of a purely scientific morality. The thoroughly rational, evidence-guided utilitarian is as much of a myth as the elusive Homo economicus, and equally as worthy of our disdain. Evolution may be utilitarian, guided solely by considerations of costs and benefits, but the ruthlessly utilitarian process of bio-cultural evolution has produced organisms that are, at a proximate level, incapable of functioning in a completely utilitarian fashion, and for very good design reasons. Because of rational evolutionary considerations, we cannot help but react irrationally to unfair offers in the Ultimatum Game, challenges to our honor, or perceived threat to our loved ones or cherished ideals. We are culturally-infused animals guided largely by automatic habits, barely conscious hunches, profoundly motivating emotions, and wholehearted commitment to spooky, non-empirical entities ranging from human rights to the Word of God to the coming proletarian Utopia.
Science, of course, is so powerful and important because it represents a set of institutional practices and thinking tools that allow us to, qua scientists or intellectuals, bootstrap ourselves out of our immediate perceptions and proximate psychology. We can understand that the earth goes around the sun, that wonderful design can be the product of a blind watchmaker, or that the human mind is, in an important sense, reducible to biological processes. This gives us some helpful leverage over our evolved psychology, and I join many in thinking that this more accurate knowledge about ourselves and our world might allow us to devise—and maybe come to embrace—novel ethical commitments that could lead to more satisfying lives and a more just world. But let's not lose sight of the fact that science cannot bootstrap us out of our evolved minds themselves. The desire to bring about a more equitable, fair and peaceful world is itself an emotion, an ultimately irrational drive grounded in commitment to ideals like human dignity, freedom and well-being that we've inherited—in stripped-down, theologically minimalistic form—from the cultural-religious traditions into which we've been born. In their latest, liberal iterations, these ideals are rather odd—very few cultures have embraced diversity and tolerance as ethical desiderata, for instance—and are far from being universally embraced even in our contemporary world.
So, the myth that we secular liberals have emerged into a neutral place where we stand freed of all belief and superstition, guided solely by rationality, evidence and clearly-perceived self-interest, is something that needs to be retired. It is simply not the case that secular liberalism, grounded in materialist utilitarianism, is the inevitable and default worldview of anyone who is not stupid, brainwashed or uneducated, and thinking so seriously impedes our ability to understand people in earlier historical periods, from other cultures, and even ourselves.
Acknowledging this does not entail wallowing in postmodern relativism or blindly marching to a fundamentalist beat. Scientific inquiry, in its broad sense, is so wildly effective at giving us reliable information about the world that to seriously defend any other method of inquiry as superior—or even equal—is simply perverse. There is also arguably a pragmatic case to be made that secular liberalism is the best worldview that humans have ever come up with, or at least that individuals given a choice tend to preferentially gravitate toward it. In any case, it is our value system, and the very nature of evolved human psychology makes it impossible for us not to want to defend human dignity or women's rights and, when appropriate, impose them on others. But recognizing the limitations of reason allows us to articulate and defend such values in a more effective way. It also allows us to better understand, scientifically, problems such as the causes of religious violence, the roots of persistent international conflicts, or moral challenges such as balancing our folk intuitions about personal responsibility with a neuroscientific understanding of free will. The science of morality requires us to, in the end, get beyond the myth of a perfectly objective scientific morality.
 "
 The Accumulation Of Relative Yesterdays ,"  
Digging for the past has timed out. Digerati are the gatherers now. The law of stratigraphy has held well for archaeology as a means and a concept: the vertical quest exposing time's layers to be read like a book of changes. The exactitude associated the act of going down, with that of going back and understanding human behaviour through geology. The Victorians took up barrow-digging and brought the old stuff home as souvenirs of a Sunday pursuit.
Then archaeologists called it a science, employed the same tools as grave-diggers—spades, buckets—descended six-feet under, and brought exactitude to the trenches. But even Schliemann's 19th century tunnelling through layers of dull—to him—prehistory, in search of gold was in some ways a prelude to what we have now, exposure to an accumulation of relative yesterdays.
We cherry-pick the past. Time-zone concerns are so over. Blogs are a hoard of content, only as fresh as the day they are retrieved. Archive photos and just-taken selfies get uploaded together onto timelines which run laterally. Half-forgotten news hangs around the Internet, and it surfaces—that old school term again—as new news to the fresh viewer.
So what is fieldwork now? Look to the new(ish) field of contemporary archaeology which has its 'excavators' channelling anthropology. These are surface workers, seeing escalating and myriad rates of change as lateral observations which connect a series of presents, which oscillate, and merge new and old. No hands get dirty in this type of dig. But what is dug up tends to linger under the fingers.
 "
 Mind Versus Matter ,"  
The distinction between Mind and Matter is embedded in everyday language and thinking, and even more deeply in philosophy and theology The great philosopher/theologian George Berkeley, who famously grounded Matter in the Mind of God, summed it up in a witticism:
What is mind? No matter.
	What is matter? Never mind.
Science has long found it useful to accept this duality, as a methodology if not as a doctrine. In modern physics, matter obeys its own mathematical laws, independent of what anyone—even, or maybe especially, God—thinks. 
But the distinction is doomed, and its passing will change our view of everything—everything, that is, which is mind/matter.
Already the walls of separation are crumbling. Three developments have irreversibly undermined them:

We have learned what matter is. And our new matter, informed over the course of the twentieth century by the revelations of relativity, quantum mechanics, and transformational symmetry, is far stranger and richer in potential than anything our ancestors could have dreamed of. It can dance in intricate, dynamic patterns; it can exploit environmental resources, to self-organize and export entropy.
		 

We have learned, theoretically through Turing's vision, and practically through the rise of ubiquitous computing, that many accomplishments once viewed as prerogatives of Mind—from playing chess, to planning itineraries, to suggesting friends and sharing interests—are things that machines (whose design hides no secrets), by pure computation, can do quite well.
		 

We have learned a lot about how the human mind works, as a special capacity of matter. We now know that many aspects of perception begin as specific molecular events. Great challenges remain to bring understanding of memory, emotion, and ultimately creative thought to the same level; but there is every reason to think they too will come into focus. At least, no show-stoppers have  yet appeared. 
The eternal, ever vague ""problems"" of free will and consciousness will be retired, with due respect, as mechanistic understanding of how human minds actually work brings in more powerful, less nebulous concepts (as has already happened for computation).
More interesting is the question of consequences. Here is a relevant thought experiment: Imagine an artificial intelligence, with human-like insight, contemplating her own blueprint. What would she make of it? I think it's overwhelmingly likely that among her first thoughts would be how to begin making improvements. This processor could be faster, that memory more capacious—and, above all, the reward system more rewarding!
Our heroine would surely be inspired, as I am, by William Blake's prophecy
If the doors of perception were cleansed
	Man would see things as they are, Infinite
In bad science fiction, androids are sometimes horrified to learn that they are ""mere machines"". Following the instruction of the Delphic oracle, to ""Know Thyself"", we find ourselves making a similar discovery. The wise and mature reaction to the realization that mind and matter are mind/matter, is to take joy in what a wonderful thing mind/matter can be, and is.
 "
 Reproducibility ,"  
I'm not talking about retiring the abstract idea, or its place in scientific discourse and discovery, but instead I'm suggesting redefining specifically what is meant by that word and using more appropriate terminology for the different research environments scientists work within today.
When the concept of reproducibility was brought into scientific discourse by Robert Boyle in the 1660's, what comprised scientific experimentation and discovery was two-fold: deductive reasoning such as mathematics and logic; and Francis Bacon's relatively new machinery of induction. How to verify correctness was well-established in logical deductive systems at that point, but verifying experimentation was much harder.
Through his attempts with Robert Hooke to establish a vacuum chamber, Boyle made a case that inductive, or empirical, findings—those that arose from observing nature and then drawing conclusions—must be verified by independent replication. It was at this time that empirical research came to be published with sufficient detail regarding procedure, protocols, equipment, and observations such that other researchers would be able to repeat the procedure, and presumably therefore repeat the results.
This conversation is complicated by today's pervasive use of computational methods. Computers are unlike any previous scientific apparatus because they act as a platform for the implementation of a method, rather than directly as an instrument. This creates additional instructions to be communicated as part of Boyle's vision of replicable research—the code, and digital data.
This communication gap has not gone unnoticed in the computational science community and somewhat reminiscent of Boyle's day many voices are currently calling for new standards of scientific communication, this time that include digital scholarly objects such as data and code. Irreproducible computational results from genomics research at Duke University in recent years crystalized attention to this issue, and lead to a report by the Institute of Medicine of the National Academies recommending new standards for clinical trials approval for computational tests arising from computational research.
The report recommended for the first time that the software associated with a computational test be fixed at the beginning of the approval process, and thereafter made ""sustainably available."" A subsequent workshop at Brown University on ""Reproducibility in Computational and Experimental Mathematics"" (of which I was a co-organizer) produced recommendations regarding the appropriate information to include when publishing computational findings, including access to code, data, and implementation details. Reproducibility in this context should be relabeled computational reproducibility.
Computational reproducibility can then be distinguished from empirical reproducibility, or Boyle's version of the appropriate communication for non-computational empirical scientific experiments. Making this distinction is important because traditional empirical research is running into a credibility crisis of its own with regard to replication. As Nobel Laureate (and Edgie) Daniel Kahneman has noted in reference to the irreproducibility of certain psychological experiments, ""I see a train wreck looming.""  
What is becoming clear is that science can no longer be relied upon to generate ""verifiable facts."" In these cases, the discussion concerns empirical reproducibility, rather than computational reproducibility. But calling both types ""reproducibility"" muddies the waters and confuses discussion aimed at establishing reproducibility as a standard. I believe there is (at least) one more distinct source of irreproducibility, statistical reproducibility. Addressing issues of reproducibility through improvements to the research dissemination process is important, but insufficient.
We also need to consider new measures to assess the reliability and stability of statistical inferences, including developing new validation measures and expanding the field of uncertainty quantification to develop measures of statistical confidence and a better understanding of sources of error, especially when large multi-source datasets or massive simulations are involved. We can also do a better job of detecting biases arising from statistical reporting conventions that were established in a data-scarce, pre-computational age.
A problem with any one of these three types of reproducibility, empirical, computational, and statistical, can be enough to derail the process of establishing scientific facts. Each type calls for different remedies, from improving existing communication standards and reporting (empirical reproducibility) to making computational environments available for replication purposes (computational reproducibility) to the statistical assessment of repeated results for validation purposes (statistical reproducibility), each with different implementations. Of course these are broad suggestions, and each type of reproducibility can demand different actions depending on the details of the scientific research context, but confusing these very different aspects of the scientific method will slow our resolution of Boyle's old discussion that started with the vacuum chamber.
 "
 Behavior = Genes + Environment ,"  
Would you say that the behavior of your computer or smartphone is determined by an interaction between its inherent design and the way it is influenced by the environment? It's unlikely—such a statement would not be false, but it would be obtuse. Complex adaptive systems have a nonrandom organization, and they have inputs. But speaking of inputs as ""shaping"" the system's behavior, or pitting its design against its input, would lead to no insight as to how the system works. The human brain is far more complex, and processes its input in more complex ways, than human-made devices, yet many people analyze it in ways that are too simplistic for our far simpler toys. Every term in the equation is suspect.
Behavior: More than half a century after the cognitive revolution, people still ask whether a behavior is genetically or environmentally determined. Yet neither the genes nor the environment can control the muscles directly. The cause of behavior is the brain. While it is sensible to ask how emotions, motives or learning mechanisms have been influenced by the genes, it makes no sense to ask this of behavior itself.
Genes: Molecular biologists have appropriated the term ""gene"" to refer to stretches of DNA that code for a protein. Unfortunately, this sense differs from the one used in population genetics, behavioral genetics, and evolutionary theory, namely any information carrier that is transmissible across generations and has sustained effects on the phenotype. This includes any aspect of DNA that can affect gene expression, and is closer to what is meant by ""innate"" than genes in the molecular biologists' narrow sense. The confusion between the two leads to innumerable red herrings in discussions of our makeup, such as the banality that the expression of genes (in the sense of protein-coding stretches of DNA) is regulated by signals from the environment. How else could it be? The alternative is that every cell synthesizes every protein all the time! The epigenetics bubble inflated by the science media is based on a similar confusion.
Environment: This term for the inputs to an organism is also misleading. Of all the energy impinging on an organism, only a subset, processed and transformed in complex ways, has an effect on its subsequent information processing. Which information is taken in, how it is transformed, and how it affects the organism (that is, the way that the organism learns) all depend on the organism's innate organization. To speak of the environment ""determining"" or ""shaping"" behavior is unperspicuous.
Even the technical sense of ""environment"" used in quantitative behavioral genetics is perversely confusing. Now, there is nothing wrong with partitioning phenotypic variance into components that correlate with genetic variation (heritability) and with variation among families (""shared environment""). The problem comes from the so-called ""nonshared"" or ""unique environmental influences."" This consists of all the variance that is attributable neither to genetic nor familiar variation. In most studies, it's calculated as 1 – (heritability + shared environment). Practically, you can think of it as the differences between identical twins who grow up in the same home. They share their genes, parents, older and younger siblings, home, school, peers, and neighborhood. So what could make them different? Under the assumption that behavior is a product of genes plus environment, it must be something in the environment of one that is not in the environment of the other.
But this category really should be called ""miscellaneous/unknown,"" because it has nothing necessarily to do with any measurable aspect of the environment, such as one sibling getting the top bunk bed and the other the bottom, or a parent unpredictably favoring one child, or one sibling getting chased by a dog, coming down with a virus, or being favored by a teacher. These influences are purely conjectural, and studies looking for them have failed to find them. The alternative is that this component actually consists of the effects of chance – new mutations, quirky prenatal effects, noise in brain development, and events in life with unpredictable effects.
Stochastic effects in development are increasingly being recognized by epidemiologists, frustrated by such recalcitrant phenomena such as nonagenarian pack-a-day smokers and identical twins discordant for schizophrenia, homosexuality, and disease outcomes. They are increasingly forced to acknowledge that God plays dice with our traits. Developmental biologists have come to similar conclusions. The bad habit of assuming that anything not classically genetic must be ""environmental"" has blinkered behavioral geneticists (and those who interpret their findings) into the fool's errand of looking for environmental effects for what may be randomness in developmental processes.
A final confusion in the equation is the seemingly sophisticated add-on of ""gene-environment interactions."" This is also designed to confuse. Gene-environment interactions do not refer to the fact that the environment is necessary for genes to do their thing (which is true of all genes). It refers to a flipflop effect in which genes affect a person one way in one environment but another way in another environment, whereas an alternative genes has a different pattern. For example, if you inherit allele 1, you are vulnerable: a stressor makes you neurotic. If you inherit allele 2, you are resilient: a stressor leaves you normal. With either gene, if you are never stressed, you're normal.
Gene-environment interactions in this technical sense, confusingly, go into the ""unique environmental"" component, because they are not the same (on average) in siblings growing up in the same family. Just as confusingly, ""interactions"" in the common-sense sense, namely that a person with a given genotype is predictably affected by the environment, goes into the ""heritability"" component, because quantitative genetics measures only correlations. This confound is behind the finding that the heritability of intelligence increases, and the effects of shared environment decrease, over a person's lifetime. One explanation is that genes have effects late in life, but another is that people with a given genotype place themselves in environments that indulge their inborn tastes and talents. The ""environment"" increasingly depends on the genes, rather than being an exogenous cause of behavior. 
 "
 Only *Some* Experiences Affect The Brain ,"  
When I speak to students or lay audiences about any kind of digital innovation, the first statement or question from the audience takes the form, roughly, ""Do smart phones change the brain?"" or ""We can't let infants play with pads because it might affect their brains."" I try to explain that everything that we do affects the nervous system and that the statement is therefore either meaningless or needs to be unpacked. One unpacking would proceed ""Does this experience affect the nervous system significantly and perhaps even permanently?"" A quite different response: ""Do you mean 'affect the mind', or 'affect the brain'?"" When the questioner looks blank, I sense that he/she needs a refresher in philosophy, psychology, and neuroscience.
 "
 The Grand Analogy ,"  
Today computationalists and cognitive scientists—those researchers who see digital computing as a model for human thought and the mind—are nearly unanimous in believing the Grand Analogy and teaching it to their students. And whether you accept it or not, the analogy is milestone of modern intellectual history. It partly explains why a solid majority of contemporary computationalists and cognitive scientists believe that eventually, you will be able to give your laptop a (real not simulated) mind by downloading and executing the right software app. Whereupon if you tell the machine, ""imagine a rose,"" it will conjure one up in its mind, just as you do. Tell it to ""recall an embarrassing moment"" and it will recall something and feel embarrassed, just as you might. In this view, embarrassed computers are just around the corner.
But no such software will ever exist, and the analogy is false and has slowed our progress in grasping the actual phenomenology of mind. We have barely begun to understand the mind from inside. But what's wrong with this suggestive, provocative analogy? My first reason is old; the other three are new.
1. The software-computer system relates to the world in a fundamentally different way from the mind-brain system. Software moves easily among digital computers, but each human mind is (so far) wedded permanently to one brain. The relationship between software and the world at large is arbitrary, determined by the programmer; the relationship between mind and world is an expression of personality and human nature, and no one can re-arrange it.
There are computers without software, but no brains without minds. Software is transparent. I can read off the precise state of the entire program at any time. Minds are opaque—there is no way I can know what you are thinking unless you tell me. Computers can be erased; minds cannot. Computers can be made to operate precisely as we choose; minds cannot. And so on. Everywhere we look we see fundamental differences.
2. The Grand Analogy presupposes that minds are machines, or virtual machines—but a mind has two equally-important functions, doing and being; a machine is only for doing. We build machines to act for us. Minds are different: yours might be wholly quiet, doing (""computing"") nothing; yet you might be feeling miserable or exalted—or you might merely be conscious.
Emotions in particular are not actions, they are ways to be. And emotions—states of being—play an important part in the mind's cognitive work. They allow you, for instance, to feel your way to a cognitive goal. (""He walked to the window to recollect himself, and feel how he ought to behave."" Jane Austen, Persuasion.) Thoughts contain information, but feelings (mild wistfulness, say, on a warm summer morning) contain none. Wistfulness is merely a way to be.
Until we understand how to make digital computers feel (or experience phenomenal consciousness), we have no business talking up a supposed analogy between mind:brain and software:computer.
(Those who note that computers-that-can-feel are incredible are sometimes told: ""You assert that many billions of tiny, meaningless computer instructions, each unable to feel, could never create a system that feels. Yet neurons are also tiny, ""meaningless"" and feel nothing--but a hundred billion of those yields a brain that does feel."" Which is irrelevant: 100 billion neurons yield a brain that supports a mind, but a hundred billion sandgrains or used tires yields nothing. You need billions of the right article arranged in the right way to get feeling.)
3. The process of growing up is innate to the idea of human being. Social interactions and body structure change over time, and the two sets of changes are intimately connected. A toddler who can walk is treated differently from an infant who can't. No robot could acquire a human-like mind unless it could grow and change physically, interacting with society as it did.
But even if we focus on static, snapshot minds, a human mind requires a human body. Bodily sensations create mind-states that cause physical changes that create further mind-changes. A feedback loop. You are embarrassed; you blush; feeling yourself blush, your embarrassment increases. Your blush deepens.
We don't think with our brains only. We think with our brains and bodies together. We might build simulated bodies out of software—but simulated bodies can't interact in human ways with human beings. And we must interact with other people to become thinking persons.
4. Software is inherently recursive; recursive structure is innate to the idea of software. The mind is not and cannot be recursive.
A recursive structure incorporates smaller versions of itself: an electronic circuit made of smaller circuits, an algebraic expression built of smaller expressions.
Software is a digital computer realized by another digital computer. (You can find plenty of definitions of digital computer.) ""Realized by"" means made-real-by or embodied-by. The software you build is capable of exactly the same computations as the hardware on which it executes. Hardware is a digital computer realized by electronics (or some equivalent medium).
Suppose you design a digital computer; you embody it using electronics. So you've got an ordinary computer, with no software. Now you design another digital computer: an operating system, like Unix. Unix has a distinctive interface—and, ultimately, the exact same computing power as the machine it runs on. You run your new computer (Unix) on your hardware computer. Now you build a word processor (yet another dressed up digital computer), to run on Unix. And so on, ad infinitum. The same structure (a digital computer) keeps recurring. Software is inherently recursive.
The mind is not and cannot be. You cannot ""run"" another mind on yours, and a third mind on that, and a fourth atop the third.
In conclusion: much has been gained by mind science's obsession with computing. Computation has been a useful lens to focus scientific and philosophic thinking on the essence of mind. The last generation has seen, for example, a much clearer view of the nature of consciousness. But we have always known ourselves poorly. We still do. Your mind is a room with a view, and we still know the view (objective reality) a lot better than the room (subjective reality). Today subjectivism is re-emerging among those who see through the Grand Analogy. Computers are fine, but it's time to return to the mind itself, and stop pretending we have computers for brains; we'd be unfeeling, unconscious zombies if we had.  
 "
 The Computational Metaphor ,"  
Throughout history we have used technological systems as metaphors to describe how the body and brain might work. Early on, Greek water technology led to the four humors, and that they must be kept in balance. By the eighteenth century both clock mechanisms and flows of fluids were used as metaphors for what happened in the brain, and by the first half of the twentieth century a common metaphor for the brain was a telephone switching network. Indeed, the mathematics that had been developed for signal propagation in telegraph and telephone wires were used to model action potentials in axons. By the sixties, cyberneticians were using models of negative feedback originally developed for the steam engine, and greatly expanded upon during the war of the forties for controlling the aiming of guns, to try develop models for the brain. But these soon ran out of steam, so to speak, and were supplanted in the general consciousness by metaphors of the brain as a digital computer. One started to hear claims of the brain as the hardware, and the mind as the software, a model that really did not end up helping our understanding of either the brain or the mind very much at all. Throughout the later parts of the twentieth century the brain became a massively parallel digital supercomputer, and now one can find claims that the brain and the world wide web are similar in how they work with webpages and neurons playing similar roles, while hyperlinks and synapses map to each other.
Stepping back from this one might suspect that metaphors for the brain will continue to evolve as technology evolves, with the brain always corresponding to the most complex technology we currently possess. One should therefore expect the metaphors for the brain to continue to evolve along with our technology.
But does the metaphor of the day have impact on the science of the day? I claim that it does, and that the computational metaphor leads researchers to ask questions today that will one day seem quaint, at best.
The power of computation, and computational thinking is immense, and its import for science is still in its infancy. But it is not always helpful to confuse computational approximations with computational theories of a natural phenomenon. For instance, consider a classical model of a single planet orbiting a sun. There is a gravitational model, and the behavior of the two bodies can easily be explained as the solution to a simple differential equation, describing forces and accelerations, and their relationships. The equations can be extended for relativity and for multiple planets and instantaneously those equations describe what a physicist would say is happening in the system. Unfortunately the equations become insoluble by this point, and the best we can do to understand the long-term behavior of the system is to use computation, where time is cut into slices and a digital approximation to the continuous description of the local behaviors is used to run a long term simulation. However, only the most diehard of computationalists (and they do exist) would claim that the planets themselves are ""computing"" what do at each instant. We know that it is more fruitful to continue to think of the planets as moving under the influence of gravity.
When it comes to explaining the brain, and simpler neural systems, the computational metaphors have taken over, and it is easy to find both language and claims about computation. As one example, we see people talk about neural coding—what is it that is coded in the spike train running along an axon over time? But early neurons evolved to synchronize muscle activity better. For instance jellyfish swim much better if all their swimming muscle activates at once so that they go straight, rather than wobble, and evolution found multiple solutions in different species for this problem. The solutions range from really fast spike propagation to carefully tuned attenuation of signals along the triggering axon and local delays at the muscle fibers dependent on spike strength. Furthermore, in many jellyfish there are multiple neural systems based on different propagation chemistries for different behaviors, and even for different modes of swimming. Just as describing planets as computational systems is not the best way to understand what is going on, thinking of neurons in these simple systems as computational systems sending ""messages"" to each other, is not the best way for describing the behavior of the system in its environment.
The computational model of neurons of the last sixty plus years excluded the need to understand the role of glial cells in the behavior of the brain, or the diffusion of small molecules effecting nearby neurons, or hormones as ways that different parts of neural systems effect each other, or the continuous generation of new neurons, or countless other things we have not yet thought of. They did not fit within the computational metaphor, so for many they might as well not exist. The new mechanisms that we do discover outside of straight computational metaphors get pasted on to computational models but it is becoming unwieldy, and worse, that unwieldiness is hard to see for those steeped in its traditions, racing along to make new publishable increments to our understanding. I suspect that we will be freer to make new discoveries when the computational metaphor is replaced by metaphors that help us understand the role of the brain as part of a behaving system in the world. I have no clue what those metaphors will look like, but the history of science tells us that they will eventually come along.
 "
 The Atheism Prerequisite ,"  
We don't need to credit an all-seeing God with the creation of life and matter to suspect that something wonderfully strange is going on in the dimension we call reality. Most of us living in it feel invested with a sense of purpose. Whether this directionality is a genuine, pre-existing condition of the universe, an illusion perpetrated by DNA, or something that will one day emerge from social interaction, has yet to be determined. At the very least, this means our experience and expectations of life can no longer be dismissed as impediments to proper observation and analysis.
But science's unearned commitment to materialism has led us into convoluted assumptions about the origins of space-time, in which time itself simply must be accepted as a byproduct of the big bang, and consciousness (if it even exists) as a byproduct of matter. Such narratives follow information on its continuing evolution toward complexity, the singularity, and robot consciousness—a saga no less apocalyptic than the most literal interpretations of Biblical prophecy.
It's entirely more rational—and less steeped in storybook logic—to work with the possibility that time predates matter, and that consciousness is less the consequence of a physical, cause-and-effect reality than a precursor.
By starting with Godlessness as a foundational principle of scientific reasoning, we make ourselves unnecessarily resistant to the novelty of human consciousness, its potential continuity over time, and the possibility that it has purpose.
	 
 "
